"","line","paper_id","study_id","focal","type","df1","df2","d","g","n.approx","statistic","p.value","p.value.one","p.reported","p.crit","significant","one.tailed","reporting.error","error.direction","parse.error","d.reported","d.reported.str","d.reported.lower","d.reported.upper","d.reported.error","d.reported.error.direction","global.reporting.error","p.value.log","d.var","d.se","studydesign","Z","obs.pow","median.obs.pow","ppr","ppl","pp33"
"27",27,".27","",TRUE,"f",1,114,0.50137741307804,0.498128747334554,116,7.29,0.00799037289180683,0.00399518644590341,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.82951785047984,0.0366498216409037,0.191441431359316,1,2.65247633493292,0.755692183679693,0.755692183679693,0.159807457836136,0.840192542163864,0.61702764545556
"28",28,".28","",TRUE,"f",1,52,0.592546294487706,0.584278206657645,54,4.74,0.0340305629599248,0.0170152814799624,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.38049624755812,0.0805761316872428,0.28385935194607,1,2.11970936239737,0.563459173243494,0.563459173243494,0.680611259198498,0.319388740801502,0.173682546013417
"29",29,".29","",TRUE,"f",1,177,0.46365080291002,0.461705414925782,179,9.62,0.00224038070549626,0.00112019035274813,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-6.10110946974555,0.0235473299834587,0.153451392901657,1,3.05636536542108,0.863548420032635,0.863548420032635,0.0448076141099252,0.955192385890075,0.815997368233336
"30",30,".30","",TRUE,"f",1,98,0.435889894354067,0.432612526727345,100,4.75,0.0316941780811593,0.0158470890405797,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.45162227171163,0.0419,0.204694894904587,1,2.14824650515707,0.574672406582344,0.574672406582344,0.633883561623185,0.366116438376815,0.200447965782009
"31",31,".31","",TRUE,"f",1,102,0.591932948385723,0.587653915023899,104,9.11,0.0032110006079154,0.0016055003039577,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-5.74117267455201,0.0418306213017751,0.204525356134087,1,2.94678144777489,0.838133933958407,0.838133933958407,0.064220012158307,0.935779987841693,0.775208294097308
"32",32,".32","",TRUE,"f",1,210,0.289110542285087,0.288086538003086,212,4.43,0.0365016516870469,0.0182508258435234,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.3103977677176,0.0192621929512282,0.138788302645533,1,2.09129473290601,0.552243165619191,0.552243165619191,0.730033033740938,0.269966966259062,0.140880705340051
"33",33,".33","",TRUE,"f",1,166,0.396112057257491,0.394341064453061,168,6.59,0.0111378993754398,0.00556894968771991,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.49740162820277,0.0247434807256236,0.157300606246841,1,2.53834227860733,0.718495627385032,0.718495627385032,0.222757987508797,0.777242012491203,0.537204665768733
"34",34,".34","",TRUE,"f",1,105,0.565024191029551,0.561054466034027,107,8.54,0.00425487784276655,0.00212743892138328,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-5.45968922647196,0.0403668442658748,0.200915017522023,1,2.85862026791273,0.815582115302661,0.815582115302661,0.0850975568553314,0.914902443144669,0.734133155930902
"35",35,".35","",TRUE,"f",1,136,0.341777111876876,0.339916256458309,138,4.03,0.0466794181908717,0.0233397090954358,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.06445193541884,0.029831968073934,0.17271933323729,1,1.98919740541028,0.511660786691341,0.511660786691341,0.933588363817432,0.0664116361825675,0.0322880907323393
"36",36,".36","",TRUE,"f",1,40,0.672592709134549,0.660510205377641,42,4.75,0.0352452734776854,0.0176226367388427,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.34542384445358,0.106009070294785,0.325590341218508,1,2.10552914035412,0.55786766171974,0.55786766171974,0.704905469553707,0.295094530446293,0.16020561030283
"37",37,".37","",TRUE,"f",1,33,1.00740118267607,0.985658711107521,35,8.88,0.00537703944999096,0.00268851972499548,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-5.22561734437828,0.143281632653061,0.378525603695524,1,2.78353298645071,0.794907752419558,0.794907752419558,0.10754078899982,0.89245921100018,0.711103035779388
"38",38,".38","",TRUE,"f",1,87,0.670066238550297,0.664403706956914,89,9.99,0.00216609583598695,0.00108304791799348,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-6.13482888577413,0.0499886377982578,0.223581389650968,1,3.06646028266952,0.865744117290527,0.865744117290527,0.0433219167197407,0.956678083280259,0.824033629578809
"39",39,".39","",TRUE,"f",1,38,0.924121204171834,0.906684955036516,40,8.54,0.00582192175893804,0.00291096087946902,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-5.14612487261228,0.12135,0.348353268967007,1,2.75764594685673,0.787472463058218,0.787472463058218,0.116438435178761,0.883561564821239,0.693749551672917
"40",40,".40","",TRUE,"f",1,64,0.722369837284325,0.714129877163211,66,8.61,0.00463695846776365,0.00231847923388182,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-5.3736966303169,0.0685123966942149,0.261748728161599,1,2.83122847836673,0.808195123717305,0.808195123717305,0.0927391693552737,0.907260830644726,0.725150196897885
"41",41,".41","",TRUE,"t",112,NA,0.262244027242874,0.364720924042398,114,1.96,0.0524797674224698,0.0262398837112349,"",0.05,FALSE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-2.9473275660926,0.0362701138811942,0.190447141961212,1,1.93917717912819,0.491707861611144,0.491707861611144,NA,NA,NA
"42",42,".42","",TRUE,"t",119,NA,0.336240763798308,0.617955957086392,121,3.42,0.000858512387186752,0.000429256193593376,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-7.06030944885868,0.0362533706714022,0.190403179257601,1,3.33320636606345,0.915161495880609,0.915161495880609,0.0171702477437341,0.982829752256266,0.899501014219001
"43",43,".43","",TRUE,"t",44,NA,0.40108548367822,0.536592037153888,46,1.85,0.0710363047415143,0.0355181523707572,"",0.05,FALSE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-2.64456419824018,0.0934262759924386,0.3056571216125,1,1.8052453022587,0.438521550508933,0.438521550508933,NA,NA,NA
